Week_Start,Bull_Bear,High_Day,Low_Day
2018-02-27,Bearish,Tuesday,Friday
2018-03-06,Bullish,Monday,Wednesday
2018-03-13,Bearish,Tuesday,Monday
2018-03-20,Bearish,Wednesday,Friday
2018-03-27,Bearish,Tuesday,Monday
2018-04-03,Bullish,Thursday,Wednesday
2018-04-10,Bullish,Monday,Tuesday
2018-04-17,Bearish,Wednesday,Monday
2018-04-24,Bearish,Tuesday,Wednesday
2018-05-01,Bullish,Monday,Thursday
2018-05-08,Bullish,Monday,Tuesday
2018-05-15,Bullish,Monday,Tuesday
2018-05-22,Bearish,Tuesday,Thursday
2018-05-29,Bullish,Monday,Tuesday
2018-06-05,Bullish,Monday,Tuesday
2018-06-12,Bearish,Wednesday,Monday
2018-06-19,Bearish,Wednesday,Monday
2018-06-26,Bullish,Wednesday,Thursday
2018-07-03,Bullish,Monday,Tuesday
2018-07-10,Bullish,Friday,Wednesday
2018-07-17,Bullish,Wednesday,Tuesday
2018-07-24,Bearish,Wednesday,Monday
2018-07-31,Bullish,Monday,Thursday
2018-08-07,Bearish,Tuesday,Monday
2018-08-14,Bullish,Monday,Wednesday
2018-08-21,Bullish,Monday,Thursday
2018-08-28,Bearish,Wednesday,Friday
2018-09-04,Bearish,Tuesday,Friday
2018-09-11,Bullish,Friday,Tuesday
2018-09-18,Bullish,Friday,Tuesday
2018-09-25,Bullish,Monday,Wednesday
2018-10-02,Bearish,Wednesday,Monday
2018-10-09,Bearish,Tuesday,Thursday
2018-10-16,Bearish,Wednesday,Monday
2018-10-23,Bearish,Tuesday,Monday
2018-10-30,Bullish,Friday,Tuesday
2018-11-06,Bearish,Wednesday,Monday
2018-11-13,Bearish,Tuesday,Thursday
2018-11-20,Bullish,Monday,Friday
2018-11-27,Bullish,Monday,Tuesday
2018-12-04,Bearish,Tuesday,Monday
2018-12-11,Bearish,Wednesday,Monday
2018-12-18,Bearish,Wednesday,Monday
2018-12-25,Bullish,Friday,Wednesday
2019-01-01,Bullish,Monday,Thursday
2019-01-08,Bullish,Thursday,Tuesday
2019-01-15,Bullish,Friday,Tuesday
2019-01-22,Bearish,Friday,Wednesday
2019-01-29,Bullish,Monday,Tuesday
2019-02-05,Bearish,Tuesday,Friday
2019-02-12,Bullish,Friday,Tuesday
2019-02-19,Bullish,Monday,Thursday
2019-02-26,Bullish,Monday,Monday
2019-03-05,Bearish,Tuesday,Friday
2019-03-12,Bullish,Monday,Tuesday
2019-03-19,Bearish,Thursday,Monday
2019-03-26,Bullish,Monday,Wednesday
2019-04-02,Bullish,Monday,Tuesday
2019-04-09,Bullish,Friday,Tuesday
2019-04-16,Bearish,Wednesday,Thursday
2019-04-23,Bullish,Monday,Tuesday
2019-04-30,Bearish,Wednesday,Monday
2019-05-07,Bearish,Tuesday,Monday
2019-05-14,Bullish,Thursday,Wednesday
2019-05-21,Bearish,Tuesday,Thursday
2019-05-28,Bearish,Tuesday,Monday
2019-06-04,Bullish,Monday,Tuesday
2019-06-11,Bearish,Tuesday,Wednesday
2019-06-18,Bullish,Friday,Tuesday
2019-06-25,Bullish,Monday,Wednesday
2019-07-02,Bullish,Wednesday,Tuesday
2019-07-09,Bullish,Monday,Tuesday
2019-07-16,Bearish,Tuesday,Thursday
2019-07-23,Bullish,Friday,Tuesday
2019-07-30,Bearish,Wednesday,Monday
2019-08-06,Bullish,Thursday,Wednesday
2019-08-13,Bullish,Tuesday,Thursday
2019-08-20,Bearish,Thursday,Friday
2019-08-27,Bullish,Friday,Wednesday
2019-09-03,Bullish,Monday,Tuesday
2019-09-10,Bullish,Thursday,Tuesday
2019-09-17,Bearish,Thursday,Wednesday
2019-09-24,Bearish,Tuesday,Friday
2019-10-01,Bearish,Tuesday,Thursday
2019-10-08,Bullish,Friday,Tuesday
2019-10-15,Bullish,Thursday,Tuesday
2019-10-22,Bullish,Monday,Wednesday
2019-10-29,Bullish,Monday,Thursday
2019-11-05,Bullish,Thursday,Wednesday
2019-11-12,Bullish,Monday,Wednesday
2019-11-19,Bullish,Monday,Wednesday
2019-11-26,Bearish,Wednesday,Monday
2019-12-03,Bullish,Friday,Tuesday
2019-12-10,Bullish,Monday,Tuesday
2019-12-17,Bullish,Monday,Tuesday
2019-12-24,Bearish,Friday,Monday
2019-12-31,Bullish,Thursday,Tuesday
2020-01-07,Bullish,Monday,Tuesday
2020-01-14,Bullish,Friday,Tuesday
2020-01-21,Bearish,Wednesday,Monday
